Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
CHINA,NANJING VIA SHANGHAI,Montreal,NKG,Weekly,27,140,140
CHINA,NANJING VIA SHANGHAI,Toronto,NKG,Weekly,27,140,140
CHINA,NANJING VIA SHANGHAI,Vancouver,NKG,Weekly,27,130,130
CHINA,NANSHA DESTINATIONS VIA HKG,Montreal,KHN,Weekly,27,160,260
CHINA,NANSHA DESTINATIONS VIA HKG,Toronto,KHN,Weekly,27,160,260
CHINA,NANSHA DESTINATIONS VIA HKG,Vancouver,KHN,Weekly,27,155,255
CHINA,NANTONG VIA SHANGHAI,Montreal,NTG,Weekly,27,170,170
CHINA,NANTONG VIA SHANGHAI,Toronto,NTG,Weekly,27,170,170
CHINA,NANTONG VIA SHANGHAI,Vancouver,NTG,Weekly,27,160,160
CHINA,NINGBO VIA HONG KONG,Montreal,NGB,Weekly,30,130,130
CHINA,NINGBO VIA HONG KONG,Toronto,NGB,Weekly,30,130,130
CHINA,NINGBO VIA HONG KONG,Vancouver,NGB,Weekly,30,125,125
CHINA,QINGDAO VIA PUSAN,Montreal,TAO,Weekly,24,130,130
CHINA,QINGDAO VIA PUSAN,Toronto,TAO,Weekly,24,130,130
CHINA,QINGDAO VIA PUSAN,Vancouver,TAO,Weekly,24,130,130
CHINA,RONGQI (GUANGDONG) DESTINATIONS VIA HKG,Montreal,RON,Weekly,27,160,175
CHINA,RONGQI (GUANGDONG) DESTINATIONS VIA HKG,Toronto,RON,Weekly,27,160,175
CHINA,RONGQI (GUANGDONG) DESTINATIONS VIA HKG,Vancouver,RON,Weekly,27,165,170
CHINA,RUGAO VIA SHANGHAI,Montreal,RGA,Weekly,28,165,165
CHINA,RUGAO VIA SHANGHAI,Toronto,RGA,Weekly,28,165,165
CHINA,RUGAO VIA SHANGHAI,Vancouver,RGA,Weekly,28,160,160
CHINA,SHANGHAI,Montreal,SHA,Weekly,19,100,100
CHINA,SHANGHAI,Toronto,SHA,Weekly,19,100,100
CHINA,SHANGHAI,Vancouver,SHA,Weekly,19,100,100
CHINA,SHANGQIU VIA SHANGHAI,Montreal,SHG,Weekly,31,205,280
CHINA,SHANGQIU VIA SHANGHAI,Toronto,SHG,Weekly,31,205,280
CHINA,SHANGQIU VIA SHANGHAI,Vancouver,SHG,Weekly,31,200,275
CHINA,SHENYANG VIA HONG KONG,Montreal,SHE,Weekly,39,195,260
CHINA,SHENYANG VIA HONG KONG,Toronto,SHE,Weekly,39,195,260
CHINA,SHENYANG VIA HONG KONG,Vancouver,SHE,Weekly,39,185,255
CHINA,SHENZHEN VIA HONG KONG,Montreal,SZP,Weekly,27,175,200
CHINA,SHENZHEN VIA HONG KONG,Toronto,SZP,Weekly,27,175,200
CHINA,SHENZHEN VIA HONG KONG,Vancouver,SZP,Weekly,27,180,265
CHINA,SHIJAZHUANG VIA SHANGHAI,Montreal,SJW,Weekly,29,230,335
CHINA,SHIJAZHUANG VIA SHANGHAI,Toronto,SJW,Weekly,29,230,335
CHINA,SHIJAZHUANG VIA SHANGHAI,Vancouver,SJW,Weekly,29,215,320
CHINA,TAICANG VIA HONG KONG,Montreal,TAG,Weekly,52,180,180
CHINA,TAICANG VIA HONG KONG,Toronto,TAG,Weekly,52,180,180
